uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-06 8:55
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:15
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:16
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:19
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:20
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:22
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:27
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:29
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:30
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:31
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:38
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:39
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:45
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:49
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:51
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 9:54
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:9
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:16
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:31
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:41
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:42
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:42
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:45
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:45
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:47
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:48
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:52
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:54
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:56
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 10:59
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:0
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:5
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:6
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:8
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:20
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:22
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:26
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:27
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:32
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:34
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:35
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:56
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:58
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:58
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 11:59
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 12:5
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:4
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:5
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:7
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:8
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:10
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:10
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:10
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:14
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:15
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:16
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:18
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:31
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:32
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:34
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:43
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:45
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:46
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:48
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:53
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 14:54
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 15:1
uncaughtException | ReferenceError: LOGGER_CONNECTION is not defined ==========> 2020-08-10 15:44
uncaughtException | ReferenceError: LOGGER_CONNECTION is not defined ==========> 2020-08-10 17:11
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-10 17:26
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - read ECONNRESET ==========> 2020-08-10 19:1
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 19:1
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-10 19:2
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-11 9:6
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-11 9:6
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-11 9:7
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-11 9:7
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:11
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:30
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:50
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:50
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:50
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:50
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:50
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-11 9:56
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:16
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:17
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:17
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:17
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:18
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-13 11:19
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-13 11:21
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 11:59
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:0
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:0
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:0
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:1
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:2
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:4
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:8
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:13
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:23
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 12:39
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 13:0
uncaughtException | Error: Redis connection in broken state: connection timeout exceeded. ==========> 2020-08-18 13:0
uncaughtException | Error: Cannot find module '../../authenConfig'
Require stack:
- D:\Project\SerialPrint\ovjohnson\server\controllers\security\authController.js
- D:\Project\SerialPrint\ovjohnson\server\controllers\authControllerListener.js
- D:\Project\SerialPrint\ovjohnson\server\routing.js
- D:\Project\SerialPrint\ovjohnson\server\server.js
- D:\Project\SerialPrint\ovjohnson\server\server.dev.js ==========> 2020-08-18 15:33
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 15:33
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 15:33
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 15:33
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-18 15:33
uncaughtException | Error: Cannot find module '../../authenConfig'
Require stack:
- D:\Project\SerialPrint\ovjohnson\server\controllers\security\authController.js
- D:\Project\SerialPrint\ovjohnson\server\controllers\authControllerListener.js
- D:\Project\SerialPrint\ovjohnson\server\routing.js
- D:\Project\SerialPrint\ovjohnson\server\server.js
- D:\Project\SerialPrint\ovjohnson\server\server.dev.js ==========> 2020-08-18 15:34
uncaughtException | SyntaxError: Unexpected token o in JSON at position 1 ==========> 2020-08-18 15:35
uncaughtException | SyntaxError: Unexpected token o in JSON at position 1 ==========> 2020-08-18 15:35
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-18 15:53
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:27
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:27
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:28
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:29
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:30
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:31
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:33
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:36
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:42
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:42
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:42
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:42
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:42
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-19 9:42
uncaughtException | ConnectionError: connect ETIMEDOUT 103.130.218.167:8000 ==========> 2020-08-19 10:2
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:38
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:39
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:39
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:39
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:39
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:40
uncaughtException | Error: Redis connection to 127.0.0.1:6379 failed - connect ECONNREFUSED 127.0.0.1:6379 ==========> 2020-08-20 9:41
